tweet_id,tweet_content,annotation_sentiment,annotation_emotion
1335707320207233025,"Friedrich #Merz auf einem Bierdeckel. 1997 votiert er gegen die Strafbarkeit der Vergewaltigung, wenn sie in der Ehe stattfindet. 2000 fordert er Rente ab 70, 2004 Abschaffung Kündigungsschutz und 2006 klagt er gegen Veröffentlichung Nebeneinkünfte von Abgeordneten. Noch Fragen?",negative,disgust
1307411198082789377,#DankePolizei ihr habt mich vor Jahren von einer Demo zur Identitätsfeststellung geschleppt. In der Polizeiwanne habt ihr gefragt ob ich es mit oder ohne Gewalt möchte. Der Unterarm einer Frau sei schnell gebrochen. Ihr wart zu sechst. Ich allein. Ich werde es Euch nie vergessen.,negative,disgust
1227850253157765120,"Heute vor 10 Jahren demonstrierten neben vielen anderen 2 Männer in #Dresden. Rechts seht ihr Björn Höcke. Der demonstrierte mit den Nazis. Links seht ihr Bodo Ramelow, einer unter 1000en, die gegen Nazis protestierten. Wo ist gleich noch mal die politische Mitte zwischen beiden? https://t.co/HwuUtfUMKe",negative,anger
1343816358136606721,"Krankenhäuser sagen, sie können bald die Gehälter der Mitarbeiter*innen nicht mehr bezahlen, weil zu viele Operationen verschoben werden mussten.  Der Markt regelt einen Dreck. Krankenhäuser gehören in öffentliche Hand! https://t.co/M2nF116dHl",negative,anger
1343255734046355456,Die Bildzeitung ist ein Drecksblatt. Meine Meinung.,negative,disgust
1283805912248049664,"Der neue #HartzIV Regelsatz:  - 5 Euro für einen Erwachsenen pro Tag für Essen. Für Frühstück, Mittag- und Abendessen. - für Kinder bis 6 Jahren gibt's nur 3 Euro pro Tag fürs Essen - 1,58 Euro für Bildung. Pro Monat!  Das ist schlicht menschenverachtend.  #Armut #alg2",negative,disgust
1336043186398121984,"Da @_FriedrichMerz gerade per Abmahnungen verhindern will, dass an dunkle Flecken in seiner Vita erinnert wird, gerne auch hier nochmal:  Friedrich #Merz hat 1997 im #Bundestag dagegen votiert, dass Vergewaltigung in der Ehe genauso strafbar wird wie außereheliche Vergewaltigung.",negative,disgust
1218220264623874050,"Die AfD ist eine Partei, die 7 Jahre nach Gründung kein Rentenkonzept hat.  Jörg Meuthen ist einer, der die gesetzliche Rente abschaffen will.  Jörg Meuthen von der AfD macht ""Fridays gegen Altersarmut"".  Wen wollen die eigentlich verarschen?",negative,anger
1278585624233205761,Nachricht des Tages: Tönnies kann auch gute Gehälter zahlen. @sigmargabriel,negative,anger
1231281840440430595,"Bin fassungslos: In #Hanau tötet ein deutscher Rassist 11 Menschen und beim Bericht über das Gedenken fragt das @ZDF in den HeuteNachrichten: ""Ist Multikulti gescheitert?"" Noch beim Sprechen über Opfer von Rassismus werden rechte Deutungsmuster bedient.  Haben die nichts gelernt?",negative,disgust
1289471923525541888,"Ihr seid keine Querdenker. Ihr seid gefährliche Spinner!  #b0108  Danke allen, die sich dem entgegenstellen.",negative,disgust
1230496011996606464,"#RechterTerror in #Hanau auf Menschen, die sich in einem Café entspannen: Es ist die #AfD, auch in Hessen, die seit Monaten gegen #ShishaBars hetzt. Und das ist nur eine kleine Auswahl. #noafd #Rassismus https://t.co/dIvpdpzrNa",negative,disgust
996708995044921345,Oh Nein!!!! Was passieren in Mittagpause??? Ich normal in Bäckerei gehen und sehen Wen? Linder in Schlange bei Bäckerei!!!! Laufen schnell mit meine Brot weg! 😂😂😂😂 @c_lindner https://t.co/FfgoSyVvTD,positive,surprise
1248544129153478656,"Erst wollte #adidas keine Miete bezahlen, jetzt will #BMW 1,6 Milliarden an Aktionäre überweisen (Großteil an zwei Personen) und beantragt parallel Staatshilfen. Wie nennt man das? Unsolidarisch? Nein, asozial.",negative,disgust
1299958044487561217,"Never forget, dass es 8 Polizeibeamte gab, um einen 15 Jährigen E-Scooter Fahrer festzunehmen, aber nur 3 Polizeibeamte, um einen rechtsextremen Mob davon abzuhalten, den #Reichstag zu stürmen. Über diese Prioritäten sollten wir intensiver reden. #Bundestag #BerlinDemo #Schande",negative,disgust
1267739857989795840,Ich sei hier nicht erwünscht! Ich lebe seit fast 35 Jahren in Halle und habe die Stadt nie länger als vier Wochen verlassen. Das gedenke ich auch in Zukunft nicht zu tun. https://t.co/LccFEykdBv,negative,sadness
1217548971767484417,"Ich bin zutiefst dankbar für die Solidarität, die ich heute von Tausenden von Menschen erhalten habe. Ihr gebt mir Kraft und Mut.",positive,joy
1240681350014910464,Endlich ist der Name mal für etwas zu gebrauchen. 👆,negative,sadness
1337886309327785984,Nicht ganz falsch... https://t.co/1tv0eH3Fu6,negative,anger
1225059533514514432,"Heute ist ein guter Tag, um in eine antifaschistische Partei einzutreten.",positive,anticipation
1341176352221917185,An wen denkt EDEKA hier? https://t.co/jVE7pG1YwV,positive,joy
1280481098649255936,Ich wurde - zusammen mit einer anderen Schwarzen Person - von Polizisten vor Hunderten von Mitpendler*innen kontrolliert. Sie haben nur uns beide nach dem Ausweis gefragt. Das war verletzend. #RacialProfiling passiert in diesem Land. Öffnen wir endlich unsere Augen &amp; Archive.,negative,disgust
1230594378353270784,"Rassistische Morde geschehen nicht, weil die Opfer ""fremd"" sind. Das Mordopfer kann niemals die Mordursache sein.  Rassistische Morde geschehen, weil die Täter rassistisch denken und handeln. #Hanau   Das Problem heißt nicht #Fremdenfeindlichkeit. Das Problem heißt #Rassismus.",negative,disgust
